"","Timestamp","nascimento","genero","escolaridade","altura","peso","horas_sono","exercicios_fisicos","acucar","origem_animal","estudante","turno","horas_estudo","desempenho_estudo","empregado","tipo_trabalhador","desempenho_trabalho","cansado","vezes_doente","foi_medico","medicacao","doador","doador_sentiu_mal","doador_familia"
"88","2019/04/08 2:40:54 PM GMT-3","1987-12-02","Masculino","Ensino Superior completo",1.76,71,"6 a 8 horas","4","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","3 ou mais","Sim, em algumas","Sim","Não","",""
"89","2019/04/08 2:49:41 PM GMT-3","1991-04-15","Masculino","Ensino Superior completo",1.8,65,"6 a 8 horas","3","Alguns dias na semana","Alguns dias na semana","Não","",NA,"","Não","","","Sempre, independente do quanto eu durmo","Nenhuma","","","Sim","Sim","Não sei"
"90","2019/04/08 2:52:37 PM GMT-3","1989-03-25","Feminino","Ensino Superior completo",1.63,75,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Mais de um turno",8,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Não","","","Apenas quando durmo pouco","3 ou mais","Sim, em todas","Sim","Não","",""
"91","2019/04/08 2:56:38 PM GMT-3","1988-12-21","Masculino","Ensino Superior completo",1.71,80,"6 a 8 horas","Nenhuma","Alguns dias na semana","Nunca","Sim","Noite",20,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Não","","","Apenas quando durmo pouco","Nenhuma","","","Sim","Não",""
"92","2019/04/08 3:18:59 PM GMT-3","1988-02-21","Feminino","Ensino Superior completo",1.61,59,"6 a 8 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Alguns dias na semana","Sim","Mais de um turno",20,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Assalariado(a)","Ruim, não estou motivado(a)","Sempre, independente do quanto eu durmo","1 a 2","Sim, em algumas","Sim","Não","",""
"93","2019/04/08 4:07:13 PM GMT-3","1990-11-21","Feminino","Ensino Superior completo",1.6,62,"Menos de 6 horas","Nenhuma","Alguns dias na semana","Alguns dias na semana","Sim","Mais de um turno",8,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em algumas","Sim","Não","",""
"94","2019/04/08 4:26:20 PM GMT-3","1982-11-18","Feminino","Ensino Superior completo",1.6,90,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em algumas","Sim","Sim","Não",""
"95","2019/04/08 4:44:57 PM GMT-3","1989-08-20","Masculino","Ensino Superior completo",1.7,75.8,"Mais de 8 horas","4","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Mais de um turno",0,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Não","",""
"96","2019/04/08 5:06:58 PM GMT-3","1991-06-07","Masculino","Ensino Superior completo",1.74,70,"Menos de 6 horas","4","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Mais de um turno",6,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Não","","","Raramente","3 ou mais","Sim, em algumas","Sim","Sim","Não",""
"97","2019/04/08 5:37:18 PM GMT-3","1995-05-15","Feminino","Ensino Superior completo",1.7,100,"6 a 8 horas","3","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Mais de um turno",30,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Estagiário(a)","Bom","Sempre, independente do quanto eu durmo","3 ou mais","Não, em nenhuma","","Sim","Sim","Não sei"
"98","2019/04/08 6:10:16 PM GMT-3","1986-06-27","Feminino","Ensino Superior completo",1.65,84,"Menos de 6 horas","3","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Noite",20,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Assalariado(a)","Regular, posso performar melhor","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em algumas","Sim","Sim","Não",""
"99","2019/04/08 6:25:56 PM GMT-3","1984-10-14","Feminino","Ensino Superior completo",1.64,64,"6 a 8 horas","3","Raramente","Todos os dias, em todas as refeições","Sim","Mais de um turno",36,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Não","","","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em algumas","Sim","Não","",""
"100","2019/04/08 7:45:34 PM GMT-3","2019-12-07","Masculino","Ensino Superior incompleto",1.74,64,"6 a 8 horas","6","Alguns dias na semana","Nunca","Sim","Manhã",7,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Raramente","1 a 2","Sim, em algumas","Sim","Não","",""
"101","2019/04/08 7:46:56 PM GMT-3","2000-08-02","Masculino","Ensino Superior incompleto",1.71,98,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Manhã",5,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Não","",""
"102","2019/04/08 7:49:04 PM GMT-3","1999-01-24","Masculino","Ensino Superior incompleto",1.66,52,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Manhã",4,"Notas variam entre B e C (B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Raramente","1 a 2","Não, em nenhuma","","Não","",""
"103","2019/04/08 8:15:54 PM GMT-3","2019-02-01","Feminino","Ensino Superior completo",1.69,51,"6 a 8 horas","1","Alguns dias na semana","Alguns dias na semana","Sim","Mais de um turno",5,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Assalariado(a)","Bom","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em algumas","Sim","Não","",""
"104","2019/04/08 8:36:00 PM GMT-3","1979-07-20","Masculino","Ensino Médio completo",1.77,100,"6 a 8 horas","Nenhuma","Raramente","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Raramente","Nenhuma","","","Sim","Sim","Não sei"
"105","2019/04/08 9:34:51 PM GMT-3","1994-03-08","Masculino","Ensino Superior completo",1.77,103,"6 a 8 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Todos os dias, em 1 ou 2 refeições","Sim","Mais de um turno",3,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Não","","","Sempre, independente do quanto eu durmo","1 a 2","Não, em nenhuma","","Não","",""
"106","2019/04/08 9:57:20 PM GMT-3","1984-12-07","Feminino","Ensino Superior completo",1.63,57,"6 a 8 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Todos os dias, em todas as refeições","Sim","Mais de um turno",14,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Sempre, independente do quanto eu durmo","1 a 2","Sim, em algumas","Sim","Sim","Sim","Não sei"
"107","2019/04/08 10:32:56 PM GMT-3","1990-10-15","Feminino","Ensino Superior completo",1.67,77,"6 a 8 horas","3","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Mais de um turno",15,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Não","","","Apenas quando durmo pouco","3 ou mais","Sim, em algumas","Sim","Sim","Sim","Não sei"
"108","2019/04/08 10:45:47 PM GMT-3","1986-04-14","Feminino","Ensino Superior completo",1.58,60,"6 a 8 horas","2","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Mais de um turno",40,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Sim","Sim","Sim"
"109","2019/04/09 1:53:00 AM GMT-3","1993-05-11","Feminino","Ensino Superior completo",1.68,98,"6 a 8 horas","1","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Mais de um turno",12,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em algumas","Sim","Não","",""
"110","2019/04/09 2:10:06 AM GMT-3","1994-06-01","Feminino","Ensino Superior completo",1.56,45,"Mais de 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Não","",NA,"","Não","","","Raramente","1 a 2","Não, em nenhuma","","Não","",""
"111","2019/04/09 11:08:34 AM GMT-3","1998-09-17","Feminino","Ensino Superior incompleto",1.75,59,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Mais de um turno",7,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Apenas quando durmo pouco","3 ou mais","Não, em nenhuma","","Sim","Sim","Não sei"
"112","2019/04/09 12:50:32 PM GMT-3","1996-09-02","Masculino","Ensino Superior completo",1.68,50,"6 a 8 horas","1","Todos os dias, em 1 ou 2 refeições","Todos os dias, em todas as refeições","Sim","Mais de um turno",20,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Sempre, independente do quanto eu durmo","Nenhuma","","","Sim","Não",""
